EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.01068258285522461,0,1,INITIAL_BUFFERING,Writing,128503
0.011857748031616211,0,1,PLAY,InitialBuffering-Play,0
0.013389348983764648,0,0,PLAY,StillPlaying,128503
0.7128157615661621,0,1,PLAY,Writing,128503.0
2.8295445442199707,2,2,PLAY,Writing,378355.0
4.015002012252808,4,1,PLAY,StillPlaying,128503.0
7.277978181838989,7,2,PLAY,Writing,577751.0
8.014370918273926,8,1,PLAY,StillPlaying,378355.0
12.01437258720398,12,0,PLAY,StillPlaying,577751.0
16.016830444335938,16,0,BUFFERING,Play-Buffering,0
28.267913818359375,16,1,PLAY,Buffering-Play,0
28.269224643707275,16,0,PLAY,StillPlaying,1473801.0
28.266839265823364,16,1,BUFFERING,Writing,1473801.0
29.462772369384766,17,1,PLAY,Writing,378355.0
32.27579593658447,20,0,PLAY,StillPlaying,378355.0
33.22684836387634,20,1,PLAY,Writing,577751.0
36.26835298538208,24,0,PLAY,StillPlaying,577751.0
40.268794775009155,28,0,BUFFERING,Play-Buffering,0
42.1880087852478,28,1,PLAY,Writing,378355.0
42.18863010406494,28,1,PLAY,Buffering-Play,0
42.193342447280884,28,0,PLAY,StillPlaying,378355.0
46.19355344772339,32,0,BUFFERING,Play-Buffering,0
69.50228214263916,32,1,BUFFERING,Writing,128503.0
69.50388026237488,32,1,PLAY,Buffering-Play,0
69.5076675415039,32,0,PLAY,StillPlaying,128503.0
73.50793647766113,36,0,BUFFERING,Play-Buffering,0
139.10886073112488,36,1,BUFFERING,Writing,378355.0
139.10963821411133,36,1,PLAY,Buffering-Play,0
139.11081862449646,36,0,PLAY,StillPlaying,378355.0
139.92386054992676,36,1,PLAY,Writing,128503.0
141.52768874168396,38,2,PLAY,Writing,128503.0
142.47217464447021,39,3,PLAY,Writing,128503.0
143.1126799583435,40,2,PLAY,StillPlaying,128503.0
143.2342438697815,40,3,PLAY,Writing,128503.0
143.92392802238464,40,4,PLAY,Writing,128503.0
144.88916778564453,41,5,PLAY,Writing,378355.0
146.8628430366516,43,6,PLAY,Writing,577751.0
147.11229634284973,44,5,PLAY,StillPlaying,128503.0
151.1125032901764,48,4,PLAY,StillPlaying,128503.0
154.69284629821777,51,5,PLAY,Writing,1473801.0
155.11253929138184,52,4,PLAY,StillPlaying,128503.0
157.31702876091003,54,5,PLAY,Writing,577751.0
159.11220479011536,56,4,PLAY,StillPlaying,128503.0
163.11255025863647,60,3,PLAY,StillPlaying,378355.0
164.4193892478943,61,4,PLAY,Writing,1473801.0
167.11320781707764,64,3,PLAY,StillPlaying,577751.0
171.1130096912384,68,2,PLAY,StillPlaying,1473801.0
175.11280870437622,72,1,PLAY,StillPlaying,577751.0
179.11278915405273,76,0,PLAY,StillPlaying,1473801.0
183.11276865005493,80,0,BUFFERING,Play-Buffering,0
203.80969405174255,80,1,BUFFERING,Writing,577751.0
203.8100769519806,80,1,PLAY,Buffering-Play,0
203.81085586547852,80,0,PLAY,StillPlaying,577751.0
207.8123335838318,84,0,BUFFERING,Play-Buffering,0
213.94722843170166,84,1,BUFFERING,Writing,128503.0
213.94941115379333,84,1,PLAY,Buffering-Play,0
213.94986772537231,84,0,PLAY,StillPlaying,128503.0
215.51843118667603,85,1,PLAY,Writing,378355.0
216.26292252540588,86,2,PLAY,Writing,128503.0
217.95259261131287,88,2,PLAY,Writing,378355.0
217.9497995376587,88,1,PLAY,StillPlaying,378355.0
218.48258805274963,88,3,PLAY,Writing,128503.0
220.06599307060242,90,4,PLAY,Writing,378355.0
221.95005011558533,92,3,PLAY,StillPlaying,128503.0
222.83170175552368,92,4,PLAY,Writing,577751.0
225.95002698898315,96,3,PLAY,StillPlaying,378355.0
227.5101137161255,97,4,PLAY,Writing,1473801.0
229.94990944862366,100,3,PLAY,StillPlaying,128503.0
231.3184313774109,101,4,PLAY,Writing,577751.0
233.95111751556396,104,3,PLAY,StillPlaying,378355.0
237.94985699653625,108,2,PLAY,StillPlaying,577751.0
241.94988226890564,112,1,PLAY,StillPlaying,1473801.0
245.94986987113953,116,0,PLAY,StillPlaying,577751.0
249.94998621940613,120,0,BUFFERING,Play-Buffering,0
285.9470558166504,120,1,BUFFERING,Writing,1473801.0
285.9481508731842,120,1,PLAY,Buffering-Play,0
285.951290845871,120,0,PLAY,StillPlaying,1473801.0
286.6236424446106,120,1,PLAY,Writing,128503.0
289.95225763320923,124,0,PLAY,StillPlaying,128503.0
290.1672353744507,124,1,PLAY,Writing,378355.0
290.9021108150482,124,2,PLAY,Writing,128503.0
292.89440417289734,126,3,PLAY,Writing,378355.0
293.6053578853607,127,4,PLAY,Writing,128503.0
293.95201587677,128,3,PLAY,StillPlaying,378355.0
295.649982213974,129,4,PLAY,Writing,378355.0
297.9519672393799,132,3,PLAY,StillPlaying,128503.0
298.11325001716614,132,4,PLAY,Writing,577751.0
301.95209217071533,136,3,PLAY,StillPlaying,378355.0
304.0375552177429,138,4,PLAY,Writing,1473801.0
305.95198822021484,140,3,PLAY,StillPlaying,128503.0
307.06893968582153,141,4,PLAY,Writing,577751.0
309.95265460014343,144,3,PLAY,StillPlaying,378355.0
312.6443178653717,146,4,PLAY,Writing,1473801.0
313.9523730278015,148,3,PLAY,StillPlaying,577751.0
317.95236253738403,152,2,PLAY,StillPlaying,1473801.0
321.9523105621338,156,1,PLAY,StillPlaying,577751.0
325.95287561416626,160,0,PLAY,StillPlaying,1473801.0
329.9529390335083,164,0,BUFFERING,Play-Buffering,0
345.9479579925537,164,1,BUFFERING,Writing,577751.0
345.95382165908813,164,1,PLAY,Buffering-Play,0
345.9604711532593,164,0,PLAY,StillPlaying,577751.0
346.54515624046326,164,1,PLAY,Writing,128503.0
348.34482884407043,166,2,PLAY,Writing,378355.0
349.1559476852417,167,3,PLAY,Writing,128503.0
349.96063470840454,168,2,PLAY,StillPlaying,128503.0
351.0526840686798,169,3,PLAY,Writing,378355.0
351.78030014038086,169,4,PLAY,Writing,128503.0
353.96102571487427,172,3,PLAY,StillPlaying,378355.0
357.9607517719269,176,2,PLAY,StillPlaying,128503.0
361.96006059646606,180,1,PLAY,StillPlaying,378355.0
362.78182315826416,180,2,PLAY,Writing,378355.0
363.23689222335815,181,3,PLAY,Writing,128503.0
365.39334654808044,183,4,PLAY,Writing,378355.0
365.9603087902069,184,3,PLAY,StillPlaying,128503.0
369.9617853164673,188,2,PLAY,StillPlaying,378355.0
373.9619069099426,192,1,PLAY,StillPlaying,128503.0
377.9605267047882,196,0,PLAY,StillPlaying,378355.0
381.8433573246002,199,1,PLAY,Writing,128503.0
381.9600188732147,200,0,PLAY,StillPlaying,128503.0
385.9610011577606,204,0,BUFFERING,Play-Buffering,0
427.0681848526001,204,1,PLAY,Writing,378355.0
427.06879901885986,204,1,PLAY,Buffering-Play,0
427.07631182670593,204,0,PLAY,StillPlaying,378355.0
427.66103649139404,204,1,PLAY,Writing,128503.0
428.61411452293396,205,2,PLAY,Writing,128503.0
429.35136222839355,206,3,PLAY,Writing,128503.0
430.106929063797,207,4,PLAY,Writing,128503.0
430.60269808769226,207,5,PLAY,Writing,128503.0
431.0760233402252,208,4,PLAY,StillPlaying,128503.0
432.6373381614685,209,5,PLAY,Writing,378355.0
435.02538657188416,211,6,PLAY,Writing,577751.0
435.0796914100647,212,5,PLAY,StillPlaying,128503.0
439.07614254951477,216,4,PLAY,StillPlaying,128503.0
439.7651960849762,216,5,PLAY,Writing,1473801.0
442.08737349510193,219,6,PLAY,Writing,577751.0
